のじゃー	ユ・ー・キ・くーん、あーそぶーのじゃー
主人公	ふん。いつもニコニコさわやかストレートドスケベ、が俺の信条だからな。草食系という言葉は俺の辞書にはない！
悠樹	それで、なんか用があったんじゃないのか。こんな、男子棟までわざわざ来るとか
ニケ	そう、それじゃっ。ユーキは今、暇かのう？
悠樹	いや、すっげえ忙……
スキャナ	よかった、暇だった
悠樹	……丁度これから昼寝でもしようかなと思ってたところですよどーせ……
主人公	くそっ。スキャナの奴完全に俺の心理を把握してやがる。
ニケ	おおっ。それは僥倖！！　さあ、この姫をぬっくぬくのぽよんぽよんな抱き枕に使うとよいっ。これ以上ない快眠を約束じゃ
スキャナ	ああ、更にずっこいっ。だ、だったらユウキ！　私を毛布代わりにどうぞ！　適度な柔らかさと温もりで素敵な寝心地を保証だもん！
主人公	そう言いながら、容赦なく俺に抱きついてくる二人。いかん。スキャナは背丈通りのちっぱいだが、ニケはこう見えてロリ巨乳！
主人公	わふー。サイズの違った感触が両サイドから俺を天国へと誘っていくぅ……。
救世主	ストーーーーーーーップ！！！
リム	はい、そこまでです！　それ以上やるのでしたら、今朝ユウキさんが眠っていた時のお二人の行動をバラしちゃいますよ！
ニケ	うむ。大変申し訳ありませんでした、なのじゃ
スキャナ	ごめんなさい、です
悠樹	その態度の変わりっぷり……おいお前ら、マジで何やらかした
主人公	俺の寝ている時、というのが怪しすぎる。男の子の大切なものを奪われちゃったりしてませんよね！
主人公	いや、そもそも今朝ってなんだ！　忍び込んだのか？　マジ気づかなかったぞ？　警戒用結界とか張ってたはずなのに！？
リム	まったくもう。普通にお茶会をしましょう、というお誘いだったはずですよね
スキャナ	はい……
ニケ	心より反省しております……
悠樹	リムさんすげえ……勇者と吸血一族の王女を正座させてるっ
リム	わたしはユウキさんの専属メイドですから。ユウキさんのお世話をする！　その一点に限っては世界最強であると自負しています！
主人公	うん、実にドヤァ、って感じだねリムちゃんや。
悠樹	で、今ここにいるってことは、スキャナとニケを信用してなかったと
リム	ユウキさんでしたらしましたか？
主人公	俺達はしっかりと握手をした。俺達の心は今、確かに一つだった。
主人公	勇者と吸血姫がシクシク泣いてるのは自業自得だ、よしとしよう。
リム	というわけですので、今からお茶会セッティングしますのでユウキさんは端っこでのの字書いてて下さい
悠樹	え！？　ここでやんの！？
主人公	当然、とばかりに掃除を始めるリムに、俺達三人は、ベッドの上で静かに正座をしていた……。
トロン	でも、ビックリだよね。まさか、ニケちゃんまで入学してたとかさあ
ニケ	ふっふっふ。姫と同じ学舎で学ぶ栄誉に泣いて喜ぶがいいっ
フロウラ	確かフランさまに泣いて頼んだんですよね、姫も入学したいのじゃあ、って
ニケ	フラーン！！　ナイショっていったのにぃ！！
スキャナ	無理無理。あのフランにそんな面白い話を黙ってられるはずないじゃない
悠樹	こうして聞くと、あれ本当に司祭なのか？　邪悪の化身にしか聞こえんぞ
リム	ご本人は、清濁合わせ持ってこそ正しい道を歩ける！　と胸張ってましたが
ルビィ	さっすが、フランさまっ。奥が深いお言葉！
ハイレン	言っておくけどなルビィ、その言葉、あいつにとって正しい道、って意味だぞ。他人は関係ないぞ
主人公	かくて、リムの力によってあっさり準備されたお茶会は、こうして開催されていた。
悠樹	まさかお前までいるとは思わなかったがな……
ハイレン	俺も一応この寮の住人だからな。問題ないだろ
ハイレン	大体、こんな上物だらけのティーパーティーに俺を呼ばないとか不敬罪で捕まえんぞ、お前
悠樹	婚約相手の王女にリークすんぞ、お前
ハイレン	土下座で謝るからやめてくれませんか、お前
主人公	そんな俺とハイレンのやり取り。すぐ横にいるトロンとルビィが引きつった笑顔で見ていた。
トロン	いや、ユッキのおかげでさ、すっごい人達に囲まれてても、平然とお茶が飲めるようになったよ……
ルビィ	あははは……ユーキさんって頭おかしいですよねー
悠樹	感想それかよ！！
ハイレン	ああ、それすげえ合ってるぞ、ルビィ。こいつ、あのフロウラにまったく手を出さないからな
フロウラ	ふう……このままだと私、未経験のままでおばあちゃんになって転生してまたユウキさまに取り憑いちゃいそうですよね
ニケ	な、なにげに死んでも一緒アピールしおったぞ！？
スキャナ	フロウラさま嘗めない方がいいわよ。ただおっぱいおっきいだけの王女さまじゃないから。そうよ、おっぱいおっきいだけじゃ……おっぱいおっきいだけじゃ……
リム	なんでしょう、すっごい呪詛の力が部屋を覆い尽くしていきます……
ハイレン	まったく。胸の大きさくらいで何狂ってんだかなあ。スキャナ
スキャナ	な、なによぉっ
ハイレン	いいか。でっかくなったおっぱいは、もとのちっぱいには戻れない。だがな、ちっぱいはでっかくなれる可能性があるんだ！　可能性でしかないかもしれんが
フロウラ	お兄さまのその話を聞くなら、私はスキャナさまに嫉妬するべきかもしれませんね。綺麗なちっぱい？
スキャナ	……ユウキ……私、その胸で泣いていい……？
悠樹	シャツが汚れるからダメだ
スキャナ	はうっ
リム	ユウキさん、今とどめ刺しましたね……
ルビィ	ざっくりいったよね……
悠樹	いいんだよ。スキャナは少しからかうくらいが一番輝く
主人公	ああ、そうだ。旅していた時がそうだったように。こんな関係が、きっと俺達には一番のはず。
主人公	それからしばらくの間、俺達は笑い合っていた。そう思えるような時間を、過ごしていた。
