女子生徒Ａ	星座候補って、どれくらいいるの？
天音	大くん！　呼び出しなんて何やったわけ！？
銀一郎	おいおい大地、呼び出されたってことは、それなりにでかいことやったんだろうな。中途半端が一番つまんねーぞ
大地	うわあい、こっちまでっ
主人公	学園からの呼び出しに、保護者と友人に囲まれて乗り込むこの状況。これはどこの参勤交代だ。
主人公	しかもこれ、絶対心配して、じゃないよなあ。
主人公	なんでしょう、この実に爽やかな笑顔の皆さんは……。
主人公	僕は諦め、という言葉を深く深く胸に刻み、部室棟へと歩いていく。
皐月	お兄ちゃんは何も悪くありません！　きっと何かの間違いです！
大地	ぶっ！
主人公	そこには、既に到着なされている皐月の姿がありました。
大地	あの……何をされてますか皐月さん？
皐月	あ、お兄ちゃん。ちょっと待ってて下さいね、今全力でお兄ちゃんの無実を作り上げますからっ
大地	いや、せめてそこは勝ち取るって言って……
彗	分かる分かる。これが愛の力ってやつだね
魅流	まったく迷いが感じられないってのがやっぱすげーぜ
天音	まあ、さっちゃんだもんねえ。お兄ちゃんへのその愛、まさに無限大？
銀一郎	そもそも将来の夢から進路希望まで、全部『お兄ちゃんのお嫁さん』って書いてるしな、未だに。愛されてていいことじゃねーか
大地	でもこれ、無実って信用されてないよね……
恒原	い、いやだからだな、まずは話を……
皐月	だからそこは、素直に頷いてくれればいいんです。無実だって言質が取れればいいんですから！
主人公	皐月、お兄ちゃん信用のある愛情が欲しいなー。
恒原	だ、だからだっ、別に指導とか注意とかではなくっ
？	まったく……実に騒がしい奴らだな
主人公	不意に聞こえた呆れ声に、僕ら全員の動きが止まった。
陽夏	まあこの場合、好意的に、人望があると解釈するべきか
主人公	振り向いたその先、そこには陽夏ちゃんの姿があった。小さな身体に大きなマントを翻し、苦笑しながらこちらへと歩いて来る。
大地	陽夏ちゃん？
陽夏	まったく、お前くらいなものだぞ、大地。私を『ちゃん』で呼ぶのは。まあ、それだけ度胸がある、ということかもしれないがな
天音	あ、あの服って、まさか十二星座！？
彗	マ、マジで！？　こんな場所に！？
主人公	その姿を見て、みんながざわつく。あの彗までもが慌てるっていうのが、さすが十二星座だなあ。
銀一郎	大地、お前……ロリで十二星座って、どんだけレアな女捕まえてやがる
魅流	さすがにこいつはあたしもビックリだ
皐月	わ、私、頑張って五歳くらい若返りますっ。お兄ちゃんが望むならっ
大地	いや、どうやって
主人公	皐月は相変わらずミラクル起こす子だなあ。
恒原	申し訳ありません。どうも部外者が多数ついてきてしまったようで……
主人公	さすがに相手が十二星座となると、うちの先生達も恐縮するらしい。その腰の低さはまさしく大人の社会の縮図のようだ。
陽夏	構わん。協力者が増えるに越したことはない
恒原	恐れ入ります。それでは、あとはお任せしてよろしいですか？
陽夏	うむ、感謝する。あとはこちらで
恒原	はい。それでは私はこれで失礼させていただきます。橘、こちらのお話をよく聞くようにな
主人公	先生は、最後にそう言い残すと、軽く会釈をして部屋を出て行った。
大地	……えーと、まさかとは思うけど、僕を呼んだのって？
陽夏	ああ、私だ
大地	……実家に帰らせていただきます
陽夏	まあそういうな。お前に拒否権はないんだし、諦めて話を聞いていけ
大地	……えーと、拒否権、無し？
陽夏	星座関連は、この国どころか世界における最優先議題だ。それを拒否すればどうなるか、説明が欲しいか？
大地	いえ、いいです……
天音	首ちょんぱ？
主人公	あえて説明しないであま姉ー！
陽夏	では着いて来い。説明しよう
主人公	大人しくなった僕に陽夏ちゃんは満足そうに頷くと、目の前の扉を開く。表札には何も書かれていない。どうやら空き部室のようだ。
陽夏	政府の許可を得た。今日からここが、お前達の活動場所になる
大地	いや、そこの許可取る前に、まずは校長とか学園長とか……
魅流	いきなりスケール違うのな
彗	しかも既に過去形だし。これは色々とキュンキュン出来そうな匂いがするぞ
陽夏	入るぞ
主人公	躊躇せず入っていく陽夏ちゃんの後に続いて、僕らはみんなその室内へと入っていった。
