ソル	……だっせぇな……二回も負けるなんてよ……ま、テキトーにやってくれや、勇者さま……？
灯	何か、あったんだよね？　シエルちゃんが悩んで、考えて、追いつめられて……こんな風になっちゃうようなことが……
レイ	先程の魔王としての力……それも恐らくは、シエルさまが戦うと決意したためでしょう。決意しなければならない何かがあった
新	教えてくれシエル。必ず俺達が助けるから
シエル	…………あ……う……
主人公	何も答えてくれず、ただ漏れる言葉を震わせながら。
主人公	右手に魔力を保ったまま。
主人公	だけどどんどん小さくなっていって……、
シエル	……うあああああっ！！
主人公	そして迷いを振り切るように――、
シエル	……無理、です……私には……
シエル	アラタさんと、アカリさんを撃つなんて……そんな……
主人公	腕を、下げた。
主人公	俺達はほっと胸をなでおろす。
主人公	攻撃されなかったことにじゃない。
主人公	シエルが変わってなかったことにだ。
シエル	……ごめん、ごめんなさい……ごめんなさい……っ……お二人に、こんなことをして……
シエル	でも、でも……私にはこうするしか、ないって言われて……！
新	言われた？　言われたって、誰に？
主人公	そしてシエルは話し始めた。
主人公	辛そうに、苦しそうに、話し始めた。
シエル	昨日……シャインを探してる時に、本人とソルが突然現れたんです……そして、気絶させられて、連れ去られて……
シエル	気づいたら変な部屋にいて、何か……大きなものがあって……今思えば、あれが……博士さまが言ってたマザーなんだと思います……
新	マザー……
主人公	確かアウロラや博士の話では、この世界を管理してる神に等しい存在だったか。
主人公	何故、そんなものがソルやシャインと繋がってるんだ？　シエルを連れて行くんだ？
シエル	そしたらマザーに……私がこの世界に存在してるから、アラタさんたちが帰れないって言われて……
新	だからそれは……
シエル	それ以外に方法がないって言われたんですっ……！　私が死ぬ以外に、帰る方法はないって……
シエル	だから私が魔王になって、みなさんの敵になったら……アラタさんたちが倒しに来てくれて、全てが上手くいくと……
灯	そんな……っ
主人公	また謎が増える。
主人公	何故マザーがそんなことを言ったんだ？
シエル	はじめは断りました……きっと何かあるって、アラタさんとアカリさんが見つけるからって……
シエル	……ですけどマザーは、ないと
新	ちょっと待ってくれ。確かにマザーはこの世界を作ったって話だけど、どうしてそう言い切れるんだ？
新	勇者システムとか作った本人なら出来るはずじゃないか
主人公	俺の問いにシエルは首を振る。
主人公	それに対する答えも持っているっていうのか。
シエル	勇者システムだけではないんです……魔王という存在も、代行者も作ったのはマザーだと言っていました……
新	魔王も、代行者も……作った？
灯	シエルちゃんや、ソルさんをってこと……？
シエル	……はい、そう言っていました
シエル	勇者が魔王を倒し、帰還する。それがこの世界のシステム。その一連の流れ以外方法はないと……
シエル	それが出来ない場合、代行者が勇者を倒す、らしいです……
新	代行者が勇者を倒すか……やっぱり、そういうことなんだな。そのために代行者はいる……
新	そして、その代行者はマザーが作った。勇者システムのために
灯	だとしたらさ、ソルさんがまた現れたのって、もしかして……
新	ありうるな。作ったって言うんなら復活させることも出来そうだし
主人公	でも何かおかしくないか？
主人公	マザーが言ってることを信じるとして何故そんな面倒なことを？
主人公	自分で魔王を作って、勇者を作って、代行者を作って。
主人公	それに博士が名付けたとはいえ、マザーっていうのは俺たちを見守る存在だったはず。
主人公	これじゃあまるで……。
シエル	だから私は受け入れたんです。魔王になることを、人の敵になることを
シエル	復活したソルが勝たないように、万が一の時は対処できるように協力して……
シエル	……アラタさんとアカリさんと戦うために……倒されるために、魔王として現れたんです……
シエル	………………
灯	………………
新	………………
主人公	……いろいろ気になることはある、言いたいことはある。
主人公	だけど何も言わず、三人無言のまま。
主人公	そんな空気の中、隣にいる灯が動いて、
灯	シエルちゃんっ
主人公	優しく抱きしめた。
シエル	……アカリ……さん……
主人公	怒られると思ったのか、責められると思ったのか。
主人公	突然のことに驚いて、そして安心したみたいに、涙を流しながら、
シエル	私は……魔王である私は……あの時アラタさんに倒される、べきだったんです……
シエル	だけどアラタさんは優しくて、アカリさんも優しくて……私をあったかい場所に連れ出してくれて……
シエル	すごい、嬉しかった……
灯	うん、うん……
主人公	母親が子どもをあやすようにシエルの頭を撫でる。
シエル	でも……だから……そんなお二人が、大好きなお二人が……私のせいで元の世界に帰れないってことが……
シエル	……逆に……すごく悲しかった
灯	うん、わかるよ……シエルちゃんの言ってること、シエルちゃんの気持ち
灯	だけど、私は絶対納得しないよ、もちろん新くんも。シエルちゃん一人が消えちゃうなんて。ねっ、新くん？
新	あぁ、絶対しない。してたまるか
シエル	アカリさん……アラタさん……
主人公	心の底からそう思う。
主人公	もしそれが正しいとしたら、世界の方が間違ってる。
灯	それにこれはとってもとっても個人的なことなんだけど
灯	同じ新くんに助けられた身としては、それを無駄にするようなこと許さないからね？
新	灯……
主人公	思わず俺も反応してしまう。
主人公	こっちこそありがとうだ。俺を俺にさせてくれて。
灯	一緒なんだ、私とシエルちゃんは。ヒーローに、勇者に、新くんに助けられた女の子。だからさ
灯	信じてよ、私たちのこと。不可能を可能にするくらい簡単なんだよ。だって私と新くんはヒーローなんだから
灯	もし私のことが信じられないなら、新くんだけでもいいから、ね？
シエル	で、でも……でも…………
新	灯にそこまで言ってもらえて嬉しいがそれはひとまず置いといて
新	いいかシエル。俺の勇者譚を勝手に決めるんじゃない
新	俺は大切な仲間がいなくなって迎えるエンディングなんて絶対に認めないぞ
新	俺が目指すエンディングは、最後にみんなで笑ってるハッピーエンドだ！
シエル	っ……アラタさん……
新	それにマザーってやつの言う通り本当に元の世界に戻れなかったらその時はその時、この世界で楽しくやっていくさ
灯	私も……まぁ、お母さんとお父さんに会えなくなるのはちょっと寂しいけどね
灯	でも新くんがいてくれるから別に平気。新くんの隣が私の居場所だから
新	そうだ、ならシエルも一緒に勇者稼業するか。魔王を仲間にした勇者とか、またまた史上初になるだろうな
灯	いいねそれ、そうしようよっ
シエル	アカリ……さん……
シエル	……ぅぅ、うぅぅ……ありがとう、ございます……お二人とも……
シエル	私も、信じます……もう一度、アラタさんと、アカリさんを……私の、ヒーローを信じます……っ
新	おう、信じまくってくれ。絶対に期待は裏切らない、それが俺達だ
灯	お～、よしよし。やっぱりシエルちゃんには笑顔が似合うね～
新	それは灯も一緒だけどな
主人公	涙も乾き、シエルに撫で撫で頬ずりする灯に一応投げかけておく。
主人公	さて。俺達に大した怪我もなく、ソルも倒し、シエルも連れて帰れる。
新	これにて一件落着！
新	……って言いたいんだけど。シエルに変なこと吹き込んだそいつには、一言申したいな
灯	だね。うちの可愛いシエルちゃんをたぶらかすなんて許せない、文句言わないと！
主人公	拳をパシンと手の平にぶつける。
主人公	人を、魔王を、代行者を、こんな風に操って、戦わせて……絶対に許せない。
主人公	マザー？　神？　知るかそんなもの。こっちは勇者が二人に魔王だぞ。
シエル	それなら私が案内します、もう迷いません
シエル	お二人の力になりたい。お二人みたいなヒーローになりたい……少しでも誰かの役に立ちたい。ですから
新	シエル……
主人公	……わかる。シエルの雰囲気がさっきと全く違う。
主人公	魔王として覚醒したからじゃない。
主人公	というより魔王の空気じゃない。理由はわからないけど、質が違う。
主人公	あぁ、こんなにも頼もしい案内を断る理由はなく。
新	よろしく頼むぞ、シエル
灯	シエルちゃんだって一言くらい言いたいよね、一緒に行こっ
シエル	はい、それでは私について来てください、こっちです
主人公	そしてシエルの後ろをついて行こうとした、その時――、
？？？	………………ぁぁ！
主人公	衝撃に吹き飛ばされた。
