ウェイトレス	はーい、いらっしゃいませー！
灯	普通は、あんなメールに二回もおーけーしないもんね。さっすが新くん、怖い物しらずっ
新	ふっ、なんといっても俺はヒーローになる男だからな。スパムメールの一つや二つで怯えてはいられない
エアリー	うわぁ、マジでか～……二度も助けに来てくれた勇者さまを放置とか～
主人公	エア姉は言いながら、呆れたように軽く頭を抱えた。
ルミネ	まあ、お兄さまは今日の儀式は確認すらせず逃げたので、またアラタさまたちがこっちに来たとは思っていないでしょうが
エアリー	どうせあいつのことだから、勇者さまに関することは全部ルミネちゃんに任せた、で脱走したんでしょ。仕事めんどくさいって
アウロラ	さすがエアリー、あいつの事をよく理解してるわね
エアリー	ん～、いい意味でも悪い意味でもつきあい長いしね
主人公	エア姉の苦笑が何というか心情をよく表している。
主人公	というかもう何度目になるか分からない疑問なんだが、本当に王様なんだろうかこの話の渦中にいる人物は。
主人公	いや、俺自身も直接会ってるわけだけれど、噂話だけ聞いてると、本当に信じられないんだよなあ。会った印象からすれば、それほど変でもないんだが。
ルナ	仰りたいことは分からないでもないですが、あれを一度会った程度で信用しますと痛い目を見ますよ
ルナ	あれこそまさに、感じるな、考えろ、です
新	……なんだろう、なんとなく分かるような気がするけれどさっぱり分からん
灯	うーん、新くん、考えるの苦手だもんね。いつもは本能的に感じるタイプだし
レイ	なるほどよく分かりました。マスター、あなたはバカなのですね！
レイ	いやまあ、最初から分かってはいましたが
新	やべえ、すげえ言い返したいんだけど、事実なだけに言い返せない。言い返したら、理由もなく嘘をつくことになっちまうっ
アウロラ	あたし今、勇者ってなんなんだろう、って本気で思ってるわ……
主人公	なんとなくアウロラの視線が痛いような気もするけれど、うん、俺はヒーローとして何も間違ったことはしていないはずだからスルー。
エアリー	ちなみに、いつもの席にいるよ
主人公	そう言ってエア姉が視線を送った先を俺達も見ると、奥まった場所にあるテーブルに酒や料理が並べられ、そこで実に楽しそうに酒を飲んでる男達が。
酔っぱらいＡ	だはは～、どうしたお前らもっと飲め飲め。俺様のおごりだぜ？　中途半端はゆるさねぇぞ？
酔っぱらいＢ	ははは！　さすが大将！　太っ腹だぜ！！
酔っぱらいＣ	今日は運が良いぜ、こんな時間に大将に会えるなんてよ！
酔っぱらいＤ	がははは、フォルト王万歳ってな！
新	…………えーと？
灯	…………あれ？　私たち、王様に会いに来たんだよね？
主人公	妙に盛り上がっているテーブルに、引き気味に灯が訪ねてくるが、残念ながら俺には答えられる言葉を持っていない。
主人公	むしろ俺が、同じ質問をしたい。
エアリー	さて問題です。あそこのテーブルを陣取る酔っぱらいＡからＤのうち、我が国の国王さまはどれでしょう？
アウロラ	うわ、なにその超高難易度クイズ
灯	あの……そもそもあの４人の中に王様が含まれている事が信じられないんですけど
ルミネ	ですよねー♪
ルナ	ああルミネさま、お気を確かに
主人公	まるで太陽のように眩い笑顔をぺかー、と浮かべる姫さまの様子に、ルナが慌てて抑えに入る。
酔っぱらいＡ	おーい、エアリーちゃ～ん。お酒と料理追加して～。あ、代金はいつも通り王城にツケといて～
新	あ、正解が自分で名乗り出てきた
エアリー	はい、正解はダメ人間Ａでした～
灯	あ、酔っぱらいからダメ人間にランクアップしてる
アウロラ	ランクダウンの間違いよ
ダメ人間Ａ	お、なんだルミネちゃんもやっと来たか、思ったより遅かったな
ルミネ	お兄さま♪
主人公	どうやら、今勢いよく手を振っている男が、この国の王らしい。うん、確かに昨日会ったのと同じ人だな。俺の勘がハッキリそう告げている。そうは見えないけれど。
主人公	うん、色々言いたいことはあるけど一つだけ。
新	魔王とか以前にこの国大丈夫かな？
ルミネ	うふふ～♪　それを言わないで下さい、アラタさま。あれでもやれば出来る兄なんですよ～♪
灯	姫さま、この状況でその台詞は説得力ゼロだよ……
主人公	うん、その笑顔の眩しさが、さらに輝度を上げていく。その心の灼熱具合は恒星と同レベルってことか。
主人公	姫さま自身がその言葉を信じてないよな、これ絶対。
エアリー	ちょっと王さま、話が違うじゃない。なにが仕事は全部片付けて来たから今日は問題ないよ！　問題ありありじゃないの！
フォルト	んあ～？　俺様嘘なんて言ってないよ～。実際今日の分の仕事は全部片付けてきたしね～
フォルト	ま、そもそも今日は仕事が原因で逃げてきたんじゃないけどな～
エアリー	そこが話と違うって言ってるの！
フォルト	だはは～気にしない気にしない～別にたいした事じゃないし～ねぇねぇそれよりお酒と料理の追加まだ～？
アウロラ	ダメだこの王様
主人公	ぶちん
主人公	再びこの国の先行きに不安を感じ始めた時、背後から何かが切れる音が聞こえてきた。
ルミネ	…………ふふふふふ
新	あ、笑顔が消えた
灯	うわぁ、笑ってないのに笑ってる……
ルミネ	エアリーさん、お兄さまに、お水お願いします
エアリー	あ、うん。いつものやっちゃっていい？
ルミネ	はい、許可します♪
エアリー	おっけー♪
主人公	あ、また姫さまが笑顔になった。
主人公	なんだろう、二人ともすっごい笑顔なのに周囲の温度が確実に下がった気がする。
主人公	王様以外の酔っぱらい達も、それで一気に酔いが醒めたのか、そそくさとテーブルから離れていく。
フォルト	おいおい、水じゃなくて酒もってこいって
ルミネ	お兄さま少しお話があります
フォルト	お、ルミネちゃんも一杯やってくか？
ルミネ	いえ、結構です。それよりまず酔いをお醒まし下さい
フォルト	ん？　大丈夫だって俺様全然酔ってないから
灯	うわ、ド定番
新	酔っぱらいの全然酔ってないよって言葉、どこの世界も同じなんだな
主人公	というか、姫さまって本気でキレると普段以上に丁寧語になるんだな。
主人公	そうこうしているうちに、カウンターの奥から水差しを持ったエア姉が戻ってくる。
ルミネ	そうですね、もしこの状況で酔っていないとおっしゃるなら、まず酔いを醒ます前に頭を冷やしていただきましょう
フォルト	へ？
エアリー	はーい、お水入りま～す♪
フォルト	うほっ！？
主人公	次の瞬間、エア姉は一切の躊躇なく、もってきた水差しをひっくり返した。
フォルト	ち、ちょっと待った！　これ氷！　キンキンなんですけど！？　って待ってお願い背中に入ったうひゃあああああああ！！
エアリー	は～い。本日特別サービスデイにつき、いつもの二倍となっておりまーす
主人公	そして、空になったと同時に、どこから取り出したのか水差しもう一本。
フォルト	おっほぅ！！　だめ、だめこれ！　心臓どっくんどっくん言ってるぅ！！
アウロラ	いやあ、久々に見たわね、あれ
ルナ	はい、ルミネさま完璧に怒ってます
レイ	私でしたら迷わず熱湯を行くところですが、ルミネ姫さま、まだまだ甘いようですね
主人公	いや、それ下手したら死ぬからな、レイ。むしろお前がスパルタすぎる。
灯	久々ってことは今までもあったんだね……というか一応王様なのにいいのかな、あんなことしちゃって……
アウロラ	いつもの事だから問題無いわよ。そもそもエアリーとフォルトは幼なじみだしね
新	え？　王様と酒場のウェイトレスが？
ルナ	正確に言えば、ルミネさまのお父様、つまり前国王と元騎士団長であった私たちの父が旧知の仲だったのです
ルナ	その関係で私たち姉妹に、ルミネさまご兄妹は幼い頃から親しくして下さいました
主人公	なるほど、それで妙に気軽な感じなのか。
主人公	でもなんで騎士団長の娘が酒場でウェイトレスをしてるんだろう。それはそれで謎が増えた気がするな。
エアリー	酔いは醒めた？
ルミネ	ついでに頭もたっぷり冷えましたか？
フォルト	…………あい、ばっちりっす
主人公	さすがに一気にテンションが下がった王様と、ジト目のエア姉と笑顔の姫様を見比べて俺は思う。
主人公	姫さまって絶対本気で怒らせたら駄目な人だ。
フォルト	つか、俺様一応この国のトップなんだけど、王様なんだけど、不敬罪とかあるんだけど、この扱い酷くない？
ルミネ	……ご自分の行為を振り返ってみて、それでも同じ言葉がでるのなら、まだ頭を冷やしたりないようですね？
エアリー	お水、おかわりいきまーす♪
フォルト	うわー！　まだちょっと酔いが残ってたかなー！　なんか余計な事くちばしっちゃったなー！
フォルト	エアリーちゃん、お水ちょうだい！　もちろんコップ！　コップにいれてね！
ルミネ	はい、分かっていただいて、わたしはとっても嬉しいです
アウロラ	ただの悪ガキだった昔はともかく、今じゃ国王って立場にいるフォルトに物理的な突っ込みを入れられるのは、幼なじみのエアリーと二人の姉代わりのあたしぐらいね
主人公	小さく笑いながら言うアウロラ。でも、昨日は逆にいじられてたような気がするんだが……これはあえて言わないでおこう。
主人公	今度はちゃんとコップに入れて水を持ってきたエア姉にタオルを渡され、それで頭を拭きながら王様が立ち上がる。
フォルト	うごー超さみー……ルミネちゃんもエアリーちゃんも容赦なさすぎ
ルミネ	熱湯の方がよろしかったですか？　熱した石入りの♪
フォルト	申し訳ありまっせんでした。俺様が悪かったでーす
主人公	あ、そっちの選択肢もあったんだ。姫さまもレイと同等のスパルタかー。
アウロラ	まったく、悪いと思ってるならちょっとは控えなさいよ……
フォルト	んで、なんでアラタとアカリちゃんがいるんだ？　アーベンの奴、ついにタイムマシンでも発明したか？
フォルト	まさか、昨日に引き続き今日も、なんてことはないだろうしな。はっはっは
主人公	そう愉快そうに笑う王様だったが、この場にいる誰も笑いはしなかった。
フォルト	え？　あれ？　ひょっとして……まじそっち！？
ルミネ	ええ、そういうわけです。ここではなんですので、一度王城へお戻りください
フォルト	あーはいはい、なるほど。そりゃルミネちゃんもぶち切れるわけだわ。ちょいと油断しすぎだわな、悪かった
フォルト	うん、こりゃ間違いなく前代未聞の珍事だわ……
主人公	王様は一瞬で状況を理解したのか、拭き終わったタオルをテーブルに放るとこちらに向き直った。
主人公	さっきまでの酔っ払いとはもはや別人。むしろ、昨日会った王様とも別人に見える。
フォルト	まさか、『また』が本当にあるなんて夢にも思わなかったが……
フォルト	どうやら、再び世話になっちまうようだな。よろしく頼む
主人公	軽い微笑みを浮かべながら、その右手を差し出す王様。俺はそれに応えるように頷くと、その手をしっかりと握りしめた。
新	ああ、何度だって任せとけ。またすぐに平和を取り戻してやるさ
灯	またよろしくお願いします
フォルト	んじゃ、一度城に帰るか。エアリーちゃん、そんな訳だから今日は城にもどるぜ。支払いはいつも通り頼むわ
エアリー	はーい、了解～
主人公	テキパキと王様がいたテーブルを片付けながら、エア姉がひらひらと手を振ってくる。
エアリー	あ、アラタくんとアカリちゃんは落ち着いたら顔見せてね～、サービスするから。次はゆっくりしてってよ
新	ああ、もちろん！
灯	うん、絶対にまた来るよ。サービス大期待してま～す
エアリー	おっけー♪　たっぷり応えちゃうから
エアリー	ルナちゃんもまたね～。忙しいとは思うけどちょくちょく顔見せてくれないと、あたしもお父さんもお母さんも泣いちゃうからね、号泣だよ号泣
エアリー	挙げ句の果てにルナちゃん顔見せず、って新聞の号外作って配っちゃうからね
ルナ	前回みたいに城門で騒がれても激しくアレなので、ちゃんと顔は見せます
ルナ	言っておきますが、次にまたアレやったら本気で三枚におろしますよ……
エアリー	はーい。お姉ちゃんちょっぴり反省
新	何やったんだ？
エアリー	最初は大声で呼んでただけなんだけど、ルナちゃん出て来てくれないし、衛兵さんはいつも通りにしらんぷりだったんで、お父さんとお母さんと三人で
エアリー	ル～ナ～ちゃ～んっ！　あ～そ～び～ま～しょ～！！　を大合唱
灯	ああ、うん……それはうざいね。おろしたくなっちゃうよね……
フォルト	大剣持って飛びだそうとするルナっち抑えるのに、そりゃ城内大慌てよ
アウロラ	ルナを止められる人間なんて、限られてるものね……
主人公	ルナとエア姉の父親って、元騎士団長とか言ってたよな……。
新	なあ、それでいいのか、この国？
フォルト	滅んでないんだからいいんじゃないか？
ルミネ	そうですね。それでは慌ただしくなってしまいましたが、行きましょうか
新	なるほど、いいのか……
レイ	マスター、いっそのことこの国、滅ぼした方が楽しくないですか？
主人公	そんなレイの言葉に、本気で頷きかけたのは内緒だ。いかんいかん。俺はヒーローだからな、うん。
