男子生徒Ａ	お、おい、どうだった？
主人公	全身から溢れそうな怒りを必死に抑え、ラーロンもまた出口へと向かう。その時の彼の顔を見た者は、誰もいなかった。
主人公	もし彼がもう少しこの場に残り、その様子を見ていたなら、もう少し違った道へと辿り着いていたのかもしれない……。
主人公	彼が見ていたなら……。
デイルパーティーＡ	デイルくん、さっきの、よかったの？
デイル	さっきのって、おぼっちゃんのこと？
デイルパーティーＡ	うん……ラーロンさんのことだから、きっとしつこいよ
デイル	まあ、そうは言ってもねえ。俺様、魔族がどうとか人族がどうとか、そういう面倒なのは勘弁なのよねぇ
デイル	もう少し他の理由でなら、話を聞いてもよかったんだけどな……
デイルパーティーＡ	え？
デイル	いや、なんでもないなんでもない
主人公	デイルはごまかすように言うと、校舎の方を見た。それは建物ではなく、その中にいる誰かを見ているかのような目。
デイル	三界の至宝に認められた男、か……確かにまあ、めんどくさそうだよねぇ
デイル	だけどそれ以上に……
デイル	面白そうだ
主人公	そう呟くデイルの顔は、今までのどこかへらへらへらした笑顔とは違い、鋭く輝いて見えた。
